         1005618 function calls (987576 primitive calls) in 137.339 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      350    0.000    0.000    0.001    0.000 enum.py:795(__or__)
     1082    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:780(find_spec)
      622    0.000    0.000    0.004    0.000 re.py:184(sub)
      343    0.000    0.000    0.000    0.000 enum.py:351(__setattr__)
        1    0.000    0.000    0.003    0.003 config_pb2.py:4(<module>)
       93    0.000    0.000    0.000    0.000 sre_compile.py:378(<listcomp>)
      243    0.000    0.000    0.004    0.000 __init__.py:2712(_get_metadata)
      405    0.000    0.000    0.000    0.000 warnings.py:468(__exit__)
     1860    0.000    0.000    0.000    0.000 version.py:48(<lambda>)
      750    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       20    0.000    0.000    0.002    0.000 distribution.py:114(__new__)
       20    0.000    0.000    0.001    0.000 decorator_utils.py:35(_normalize_docstring)
      181    0.000    0.000    0.016    0.000 __init__.py:2258(fixup_namespace_packages)
       13    0.000    0.000    0.001    0.000 enum.py:623(<listcomp>)
      404    0.000    0.000    0.001    0.000 warnings.py:143(simplefilter)
       19    0.000    0.000    0.000    0.000 generic.py:6(create_pandas_abc_type)
      466    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:861(_find_spec_legacy)
      282    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
      191    0.000    0.000    0.000    0.000 _decorators.py:135(__call__)
       30    0.000    0.000    0.049    0.002 __init__.py:611(add_entry)
      317    0.000    0.000    0.000    0.000 sre_parse.py:342(_escape)
        2    0.000    0.000    0.024    0.012 pyparsing.py:75(<module>)
      133    0.000    0.000    0.001    0.000 pyparsing.py:3260(__init__)
      860    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:800(__init__)
        2    0.000    0.000    0.001    0.000 six.py:1(<module>)
      216    0.000    0.000    0.002    0.000 __init__.py:1476(_validate_resource_path)
      216    0.000    0.000    0.002    0.000 __init__.py:1470(_fn)
      379    0.000    0.000    0.001    0.000 genericpath.py:39(isdir)
      408    0.000    0.000    0.000    0.000 __init__.py:1542(isEnabledFor)
      406    0.000    0.000    0.001    0.000 codecs.py:318(decode)
      648    0.000    0.000    0.001    0.000 descriptor.py:497(__new__)
      172    0.000    0.000    0.027    0.000 sre_compile.py:542(_code)
      408    0.000    0.000    0.001    0.000 __init__.py:1357(log)
  359/354    0.000    0.000    0.000    0.000 pyparsing.py:372(__init__)
      648    0.000    0.000    0.000    0.000 {method 'FindFieldByName' of 'google.protobuf.pyext._message.DescriptorPool' objects}
     2566    0.000    0.000    0.001    0.000 __init__.py:2313(_normalize_cached)
       83    0.000    0.000    0.001    0.000 pyparsing.py:3289(__init__)
       46    0.000    0.000    0.001    0.000 config.py:411(register_option)
      900    0.000    0.000    0.000    0.000 copyreg.py:87(__newobj__)
      172    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      239    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
      227    0.000    0.000    0.000    0.000 sre_parse.py:294(_class_escape)
        1    0.000    0.000    0.000    0.000 __init__.py:1060(_rc_params_in_file)
      216    0.000    0.000    0.001    0.000 ntpath.py:66(isabs)
